Participant,Practice,Block,Trial,Group type,Path
0,true,0,0,I,1
0,false,1,0,null,3
0,false,1,1,null,1
0,false,1,2,null,1
0,false,1,3,null,2
0,false,1,4,null,3
0,false,1,5,null,1
0,false,1,6,null,1
0,false,1,7,null,2
0,false,1,8,null,3
0,false,1,9,null,2
0,false,1,10,null,1
0,false,1,11,null,2
0,false,1,12,null,2
0,false,1,13,null,3
0,false,1,14,null,3
0,false,1,15,null,2
0,false,1,16,null,3
0,false,1,17,null,1
1,false,1,0,null,2
1,false,1,1,null,1
1,false,1,2,null,1
1,false,1,3,null,1
1,false,1,4,null,2
1,false,1,5,null,1
1,false,1,6,null,1
1,false,1,7,null,3
1,false,1,8,null,2
1,false,1,9,null,3
1,false,1,10,null,3
1,false,1,11,null,2
1,false,1,12,null,3
1,false,1,13,null,3
1,false,1,14,null,2
1,false,1,15,null,3
1,false,1,16,null,1
1,false,1,17,null,2
2,true,0,0,T,1
2,false,1,0,null,3
2,false,1,1,null,3
2,false,1,2,null,1
2,false,1,3,null,3
2,false,1,4,null,1
2,false,1,5,null,1
2,false,1,6,null,2
2,false,1,7,null,3
2,false,1,8,null,1
2,false,1,9,null,2
2,false,1,10,null,2
2,false,1,11,null,2
2,false,1,12,null,1
2,false,1,13,null,3
2,false,1,14,null,3
2,false,1,15,null,2
2,false,1,16,null,2
2,false,1,17,null,1
3,false,1,0,null,3
3,false,1,1,null,2
3,false,1,2,null,3
3,false,1,3,null,2
3,false,1,4,null,3
3,false,1,5,null,1
3,false,1,6,null,1
3,false,1,7,null,1
3,false,1,8,null,2
3,false,1,9,null,3
3,false,1,10,null,1
3,false,1,11,null,1
3,false,1,12,null,3
3,false,1,13,null,2
3,false,1,14,null,3
3,false,1,15,null,2
3,false,1,16,null,2
3,false,1,17,null,1
4,true,0,0,B,1
4,false,1,0,null,2
4,false,1,1,null,3
4,false,1,2,null,2
4,false,1,3,null,3
4,false,1,4,null,1
4,false,1,5,null,3
4,false,1,6,null,2
4,false,1,7,null,3
4,false,1,8,null,1
4,false,1,9,null,3
4,false,1,10,null,1
4,false,1,11,null,2
4,false,1,12,null,3
4,false,1,13,null,2
4,false,1,14,null,2
4,false,1,15,null,1
4,false,1,16,null,1
4,false,1,17,null,1
5,false,1,0,null,1
5,false,1,1,null,1
5,false,1,2,null,3
5,false,1,3,null,3
5,false,1,4,null,2
5,false,1,5,null,1
5,false,1,6,null,3
5,false,1,7,null,1
5,false,1,8,null,2
5,false,1,9,null,2
5,false,1,10,null,2
5,false,1,11,null,1
5,false,1,12,null,3
5,false,1,13,null,2
5,false,1,14,null,3
5,false,1,15,null,1
5,false,1,16,null,3
5,false,1,17,null,2
